الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ الرَّحْمَنِ الرَّحِيمِ مَالِكِ يَوْمِ الدِّينِ إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينَ إِهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَنَضَّارَ
[3.94s - 5.34s] الْحَمْدُ
[5.34s - 6.00s]  لِلَّهِ
[6.00s - 6.50s]  رَبِّ
[6.50s - 8.52s]  الْعَالَمِينَ
[8.52s - 9.44s]  الرَّحْمَنِ
[9.44s - 11.36s]  الرَّحِيمِ
[11.36s - 12.08s]  مَالِكِ
[12.08s - 12.54s]  يَوْمِ
[12.54s - 13.98s]  الدِّينِ
[13.98s - 14.88s]  إِيَّاكَ
[14.88s - 15.50s]  نَعْبُدُ
[15.50s - 16.42s]  وَإِيَّاكَ
[16.42s - 18.34s]  نَسْتَعِينَ
[18.34s - 19.04s]  إِهْدِنَا
[19.04s - 19.66s]  الصِّرَاطَ
[19.66s - 20.70s]  الْمُسْتَقِيمَ
[20.70s - 21.44s]  صِرَاطَ
[21.44s - 22.20s]  الَّذِينَ
[22.20s - 23.00s]  أَنْعَمْتَ
[23.00s - 24.14s]  عَلَيْهِمْ
[24.14s - 24.60s]  غَيْرِ
[24.60s - 25.42s]  الْمَغْضُوبِ
[25.42s - 26.32s]  عَلَيْهِمْ
[26.32s - 28.48s]  وَنَضَّارَ
َ شَكُورًا
[28.48s - 28.48s] َ
[28.48s - 30.82s]  شَكُورًا
 عَلِيمًا حَمِيمًا
[30.82s - 32.72s]  عَلِيمًا
[32.72s - 34.72s]  حَمِيمًا
